Date,Description,Category,Amount,Split,Tags
9/2/25,PURCHASE WOODMANS FOOD,Groceries,-100.93,,
9/3/25,BRIGHTSTAR FRANC PAYROLL,Paycheck,1913.95,,
9/4/25,Wealthfront EDI PYMNTS,Other,-1670.6,,
9/11/25,NON-HUNTINGTON CASH WITHDRAWAL,Other,-101.5,,
9/11/25,Zelle Transaction 202509111759 HNA0JHI3HG11,Other,200.0,,
9/15/25,Zelle Transaction 202509131325 H50261519668,Other,-1124.0,,
9/15/25,PURCHASE WOODMANS FOOD,Groceries,-87.15,,
9/16/25,ROBINHOOD DEBITS,Other,-133.67,,
9/17/25,BRIGHTSTAR FRANC PAYROLL,Paycheck,1854.63,,
9/18/25,Wealthfront EDI PYMNTS,Other,-608.31,,
9/22/25,PURCHASE WOODMANS FOOD,Groceries,-9.99,,
9/22/25,NON-HUNTINGTON ATM CASH WITHDRAWAL FEE,Other,-3.5,,
9/23/25,ROBINHOOD DEBITS,Other,-128.68,,
9/29/25,PURCHASE WOODMANS FOOD,Groceries,-82.25,,
10/1/25,BRIGHTSTAR FRANC PAYROLL,Paycheck,1858.63,,
10/2/25,Wealthfront EDI PYMNTS,Other,-1634.21,,
10/6/25,PURCHASE WOODMANS FOOD,Groceries,-9.99,,
10/7/25,ROBINHOOD DEBITS,Other,-129.01,,
10/14/25,PURCHASE WOODMANS FOOD,Other,-73.88,,
10/14/25,PURCHASE WOODMANS FOOD,Groceries,-2.19,,
10/15/25,BRIGHTSTAR FRANC PAYROLL,Paycheck,2115.49,,
10/16/25,PURCHASE IL TOLLWAY-AUTOREPLENI,Public Transportation,-25.0,,
10/16/25,Wealthfront EDI PYMNTS,Other,-1875.42,,
10/20/25,PURCHASE WOODMANS FOOD,Groceries,-9.29,,
10/20/25,ROBINHOOD DEBITS,Other,-150.47,,
10/27/25,PURCHASE WOODMANS FOOD,Groceries,-97.72,,
10/29/25,BRIGHTSTAR FRANC PAYROLL,Paycheck,1858.63,,
10/30/25,Wealthfront EDI PYMNTS,Other,-1601.15,,
11/3/25,PURCHASE WOODMANS FOOD,Groceries,-9.99,,
11/6/25,ROBINHOOD DEBITS,Other,-129.01,,
